gen          best        mean
0       34.180709   -2.843677
1       39.875596   -3.973523
2       56.947960   -4.362675
3       28.770439   -2.679988
4       16.751687   -3.290637
5       11.345340   -4.451034
6       34.586637   -2.956759
7       56.055117   -3.567430
8       45.048015   -3.375145
9       38.933664   -2.695772
10      55.919289   -2.712011
11      28.895113   -4.068129
12      49.002641   -2.142821
13      41.348065   -2.860384
14      21.570859   -3.811837
15      30.973594   -4.035055
16      34.289172   -3.108274
17      37.698205   -3.002566
18      41.077202   -2.814747
19      34.257453   -3.909462
20      28.744738   -2.602697
21      24.003887   -3.579497
22      21.079534   -3.621615
23      15.102704   -3.839238
24       9.879433   -4.830901
25      21.521739   -2.935572
26      48.093111   -3.834773
27       9.864115   -4.552627
28      27.243913   -4.353081
29      37.710794   -4.353921
