gen          best        mean
0       37.169301   -2.009838
1       46.966469   -2.658345
2       24.178064   -3.650737
3       45.353433   -1.912855
4       34.289977   -3.239327
5       24.182259   -3.682591
6       32.324470   -3.241123
7       55.450088   -1.628049
8       24.182259   -3.195162
9       65.217090   -2.339690
10      39.206549   -2.427962
11      15.890326   -3.869555
12      36.295681   -2.092717
13      30.378695   -3.999692
14      63.132580   -2.746030
15      48.303719   -2.855692
16      35.515361   -3.924281
17      39.724458   -3.957323
18      46.988842   -3.278977
19      47.496721   -2.757922
20      38.606929   -2.377502
21      26.946405   -2.363088
22      41.312598   -4.094290
23      37.229112   -3.357124
24      26.101809   -3.427787
25      50.070890   -2.934405
26      32.476921   -3.391649
27      28.009171   -3.458246
28      34.436613   -2.159443
29      38.613817   -4.181796
