gen          best        mean
0       24.180157   -4.282980
1       24.182259   -3.029108
2       44.025989   -3.364078
3       14.516165   -4.926184
4       23.078305   -4.831478
5       28.946568   -2.766295
6       28.074555   -3.846056
7       20.314475   -4.216910
8       60.294428   -3.709181
9       47.923286   -1.180298
10      46.260220   -2.572160
11      24.186803   -2.510427
12      33.780656   -2.794416
13      31.851349   -3.515866
14      33.052344   -2.991834
15      30.539804   -3.450076
16      64.126173   -3.350857
17      35.479966   -2.681251
18      24.182259   -5.453998
19      42.611240   -2.046660
20      24.182259   -5.077947
21      29.420804   -4.561562
22      30.161321   -4.888901
23      35.216845   -2.413816
24      45.995997   -2.033755
25      48.437680   -4.123166
26      41.639765   -2.458633
27      49.696367   -4.165750
28      33.594098   -1.805161
29      40.542015   -2.962584
