gen          best        mean
0       22.291423   -4.425053
1       36.877232   -3.674629
2       23.967156   -3.388194
3       29.038768   -2.514000
4       64.294383   -2.433960
5       14.747804   -4.983662
6       37.831252   -2.908466
7       56.926312   -2.505680
8       32.143456   -3.096969
9       15.236322   -3.606210
10      33.746219   -3.906392
11      68.911454   -2.206874
12      24.182259   -3.560313
13      64.352954   -3.236401
14      24.182259   -3.083820
15      56.436097   -4.043580
16      41.336770   -2.724623
17      16.835005   -4.214606
18      25.782658   -4.702354
19      25.840010   -2.932860
20      42.052189   -2.713948
21      29.817847   -2.457674
22      28.244666   -2.927748
23      44.640891   -2.470017
24      34.943525   -3.572903
25      46.341235   -1.249101
26      23.313978   -3.062392
27      25.899846   -2.744569
28      24.185212   -2.301467
29      53.601142   -3.238956
