gen          best        mean
0       27.461900   -4.362165
1       41.228822   -2.600001
2       20.198975   -4.459167
3       63.725528   -1.551205
4       24.182259   -3.444984
5       30.493980   -2.900695
6       41.327165   -2.752530
7       24.166917   -3.742644
8       35.395965   -3.439715
9       24.182259   -3.962402
10      45.721882   -3.263786
11      64.294084   -3.007197
12      30.876316   -3.328510
13      28.185574   -3.173017
14      24.171482   -3.833821
15      50.700430   -1.156093
16      26.651608   -3.529194
17      32.187835   -3.186684
18      30.562582   -3.975617
19      58.523784   -0.934486
20      21.327404   -4.203085
21      31.945093   -3.671188
22      57.083447   -0.722745
23      41.358898   -3.799912
24      38.239466   -2.227482
25      42.248302   -2.600320
26      33.936403   -3.016812
27      41.169578   -4.479772
28      33.339156   -4.098588
29      35.783466   -4.196698
