

gen best mean std
0 41.870881 -1.718501 9.527508
1 41.870881 -0.640009 9.517281
2 41.870881 0.120388 9.60451
3 41.870881 1.863284 10.513984
4 41.870881 3.250257 10.741858
5 41.870881 4.876936 11.078832
6 48.723066 6.611425 12.155824
7 48.723066 7.979816 11.928794
8 48.723066 9.099024 11.656575
9 48.723066 10.4613 11.853971
10 48.723066 12.123259 11.47808
11 48.723066 12.899668 11.356181
12 48.723066 14.651784 11.194249
13 48.723066 16.160888 10.866304
14 48.723066 17.158263 10.931528
15 48.723066 18.849838 11.476751
16 48.723066 20.026195 11.181957
17 62.892038 20.65271 11.795271
18 62.892038 20.801737 11.838555
19 62.892038 22.341916 12.134814
20 62.892038 23.713439 13.05608
21 62.892038 24.628603 13.121651
22 63.317023 25.24392 13.635739
23 67.686148 26.107498 14.01068
24 67.686148 26.323157 13.815114
25 67.686148 27.295666 13.852418
26 67.686148 27.754134 13.617
27 67.686148 28.343056 13.40577
28 67.686148 29.62158 13.310846
29 67.686148 30.440702 13.467995
