gen          best        mean
0       44.596204   -3.370920
1        9.879433   -5.252104
2        9.879433   -3.930494
3       42.721104   -3.179132
4       31.311917   -4.262950
5       37.970741   -3.600642
6       29.127151   -3.689352
7       24.251613   -3.459043
8       37.819545   -3.872286
9       23.190534   -3.455299
10       9.692082   -5.226166
11      43.151621   -4.092028
12      28.977274   -3.865941
13      22.093696   -3.951089
14      27.269077   -3.315736
15      40.188275   -3.694678
16      17.135157   -3.947200
17      51.256502   -3.690266
18      22.267061   -3.785000
19      35.656004   -3.093924
20      44.921129   -3.551918
21      54.139553   -3.350096
22      13.113835   -4.120211
23      22.240880   -3.785138
24      12.391495   -4.347325
25      32.962424   -3.701216
26      44.587455   -3.754478
27      28.942685   -4.105794
28      16.463892   -4.064890
29      37.960932   -3.110628
