gen          best        mean
0       37.980984   -2.780196
1       16.957911   -4.839099
2       27.297831   -2.657865
3       29.271856   -4.073561
4       39.616436   -2.910666
5       31.055752   -3.044515
6       31.777805   -3.650978
7       35.967197   -3.710858
8       16.098400   -3.979702
9       48.783104   -4.075303
10      27.268880   -3.630022
11      50.257117   -2.530600
12      24.675055   -3.464529
13      20.024397   -4.526287
14      43.303868   -2.896954
15      37.821333   -3.668948
16      37.143955   -3.561674
17       9.884369   -4.183410
18       9.879433   -4.487154
19      14.996657   -4.110051
20      16.743328   -4.330786
21      38.121391   -2.257796
22      16.446118   -4.438433
23      47.019946   -3.204083
24      39.369714   -2.027122
25      15.146559   -3.810270
26      34.222247   -2.441497
27      33.586163   -3.823496
28      23.775561   -4.664129
29      43.154199   -3.243431
