

gen best mean std
0 11.109559 -4.348899 4.484268
1 24.282436 -2.28981 6.288622
2 53.568856 -0.095142 9.636663
3 53.568856 1.857171 10.152183
4 53.568856 3.58909 10.609304
5 53.568856 5.522098 11.663026
6 70.138117 8.829308 14.54487
7 70.138117 10.432765 15.208196
8 70.138117 12.128408 15.710396
9 70.138117 13.269701 15.465539
10 70.138117 14.557464 15.352771
11 70.138117 16.393119 15.604444
12 70.138117 18.03931 15.117957
13 70.138117 19.206107 14.94296
14 70.138117 20.059894 15.042842
15 70.138117 20.886917 14.691953
16 70.138117 21.236355 14.573725
17 70.138117 21.744939 14.30637
18 70.138117 22.812855 14.674682
19 70.138117 23.93185 14.529207
20 70.138117 24.378255 14.280273
21 70.138117 24.973387 14.152013
22 70.138117 25.40906 13.787067
23 70.138117 26.521066 14.003005
24 70.138117 27.228618 13.805394
25 77.603209 28.856689 14.858452
26 77.603209 29.174246 15.041202
27 77.603209 29.720794 15.41865
28 77.603209 30.019982 15.353863
29 77.603209 30.921013 14.976023
